Season,Episode,Title
8,9,"El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)"
8,10,"The Springfield Files"
8,11,"The Twisted World of Marge Simpson"
8,12,"Mountain of Madness"
8,13,"Simpsoncalifragilisticexpiala(Annoyed Grunt)cious"
8,14,"The Itchy & Scratchy & Poochie Show"
8,15,"Homer's Phobia"
8,16,"Brother from Another Series"
8,17,"My Sister, My Sitter"
8,18,"Homer vs. the Eighteenth Amendment"
8,19,"Grade School Confidential"
8,20,"The Canine Mutiny"
8,21,"The Old Man and the Lisa"
8,22,"In Marge We Trust"
8,23,"Homer's Enemy"
8,24,"The Simpsons Spin-Off Showcase"
8,25,"The Secret War of Lisa Simpson"
9,1,"The City of New York vs. Homer Simpson"
9,2,"The Principal and the Pauper"
9,3,"Lisa's Sax"
9,4,"Treehouse of Horror VIII"
9,5,"The Cartridge Family"
9,6,"Bart Star"
9,7,"The Two Mrs. Nahasapeemapetilons"
9,8,"Lisa the Skeptic"
9,9,"Realty Bites"
9,10,"Miracle on Evergreen Terrace"
9,11,"All Singing, All Dancing"
9,12,"Bart Carny"
9,13,"The Joy of Sect"
9,14,"Das Bus"
9,15,"The Last Temptation of Krust"
9,16,"Dumbbell Indemnity"
9,17,"Lisa the Simpson"
9,18,"This Little Wiggy"
9,19,"Simpson Tide"
9,20,"The Trouble with Trillions"
9,21,"Girly Edition"
9,22,"Trash of the Titans"
9,23,"King of the Hill"
9,24,"Lost Our Lisa"
9,25,"Natural Born Kissers"
10,1,"Lard of the Dance"
10,2,"The Wizard of Evergreen Terrace"
10,3,"Bart the Mother"
10,4,"Treehouse of Horror IX"
10,5,"When You Dish Upon a Star"
10,6,"D'oh-in' in the Wind"
10,7,"Lisa Gets an 'A'"
10,8,"Homer Simpson in: 'Kidney Trouble'"
10,9,"Mayored to the Mob"
10,10,"Viva Ned Flanders"
10,11,"Wild Barts Can't Be Broken"
10,12,"Sunday, Cruddy Sunday"
10,13,"Homer to the Max"
10,14,"I'm with Cupid"
10,15,"Marge Simpson in: 'Screaming Yellow Honkers'"
10,16,"Make Room for Lisa"
10,17,"Maximum Homerdrive"
10,18,"Simpsons Bible Stories"
10,19,"Mom and Pop Art"
10,20,"The Old Man and the 'C' Student"
10,21,"Monty Can't Buy Me Love"
10,22,"They Saved Lisa's Brain"
10,23,"Thirty Minutes over Tokyo"
